Case ID,Bridge Name,"Location (City/County, Country)","coordinates (lat, lon)",Confirmed Post-Incident Safety Actions,Incident Date,Incident Type,Cause of Incident,Damage Description,Duration of Service Disruption,Estimated Repair Cost,Source / Reference,Notes,
1,Mary's River Rail bridge,"Oregon, USA","44.554391, -123.269164",,"January 4, 2025",Fire,"A train bridge over the Marys River in Corvallis collapsed because of structural failure, sending one train car filled with agricultural materials into the river. ","A “structural failure” caused the Jan. 4 bridge collapse in Corvallis that sent two Portland & Western rail cars into the river, including one that was partially submerged in the river and one that was almost entirely submerged in the water.",,"The Portland & Western Railroad bridge over Mary's River is undergoing repairs, with an estimated cost of around $1 million.","Marys River train bridge in Corvallis collapses, one train car falls into river - oregonlive.com  https://www.chronline.com/stories/oregon-train-bridge-collapse-sent-150000-pounds-of-fertilizer-into-river,373467",,
2,I-75,"Michigan, USA","45.817059, -84.727822",,"March 22, 2025",Vehicle collision,The damage was caused by a truck that inexplicably had its bed raised high enough to make contact with the underside of the bridge as the vehicle passed below it,Significant damage that required full overpass closure and extensive repairs.,Closed for a weekend,,https://www.toledoblade.com/local/transportation/2025/03/22/bridge-strike-forces-closure-i75-between-both-i475-junctions/stories/20250322091,,
3,Parkersburg Railroad Bridges,"West Virginia, USA","39.271427, -81.5656405",The approach remained centered on maintaining vigilant routine inspections and ensuring rapid containment if future incidents occur.,"April 12, 2025",Vessel collision,Loose barge,"A barge got loose on the swollen Little Kanawha River and floated downstream. The vessel, loaded with what appeared to be sand or gravel, drifted downstream and struck the bridge piling of a railroad trestle at Parkersburg.",,N/A,https://wvmetronews.com/2024/04/12/loose-barge-strikes-railroad-bridge-in-wood-county/,,
4,Atchafalaya River railroad bridge,"Louisiana, USA","30.690745, -91.734257","The collision triggered swift safety inspections and an ongoing investigation. As of now, there is no evidence of permanent infrastructure upgrades (like fender systems or mooring improvements) at the Melville railroad bridge.","April 21, 2025",Vessel collision,The cause is still being investigated.,"A railroad bridge in St. Landry Parish was struck by a tugboat in the Atchafalaya River. Officials said the tugboat hit the railroad trestle in Melville while moving barges down the river. While there have been no immediate reports of injuries, officials have said there is significant damage to the barge it.",,N/A,https://www.klfy.com/local/st-mary-parish/tugboat-hits-railroad-bridge-in-melville-causing-significant-damage/ https://ktvz.com/cnn-regional/2025/04/22/atchafalaya-river-railroad-bridge-in-melville-hit-by-tugboat-us-coast-guard-investigating/,,
,I‑65 Overpass – Upper River Road,"Alabama, USA","32.864388, -86.605848",,"April 29, 2025",Vehicle collision,Miscalculation,"A tractor-trailer  hit a concrete overpass at Upper River Road while transporting an excavator. Inspection found damage to the concrete on all six bridge girders – the long, horizontal beams that support the bridge deck. However, in all but one girder, the steel rebar appeared intact",Temporary lane closure,"ALDOT negotiated for the repair to be performed as a $358,185 supplement to a pre-existing $16.1 million contract with Rogers Group for the ongoing resurfacing of I-65 in Morgan County.",https://www.waff.com/2025/04/29/alea-i-65-crash-caused-by-tractor-trailer-hitting-concrete-overpass/ https://www.yahoo.com/news/aldot-provides-upper-river-road-110211316.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS8&guce_referrer_sig=AQAAAC-vAZzYKsjf5VNeJ-LJRdND_v15RMvIiMAxf-Gffn6F6cnIFaJu3d6XS1mexKHTM2QWm_heQWj15v3s15yf2jFUtzFzqTVMJqIIIQrNRnSv4jx10cSJ9cmSDYnlDEU8cuFsJJ4cWwveBPpXFIm45JAEajnTU0w0MhpoOV-M0b6v,,
5,Highway 80 at Vicksburg,"Mississippi, USA","32.31483, -90.90575","Regarding future prevention, no new barrier systems (like fenders or bollards) or operational changes have been publicly announced since this incident. However, the pre-existing upgrades—notably the underwater radar system installed in 2013—remain a key measure for improving navigation safety.","May 1, 2025",Vessel collision,High water flow,A tugboat was pushing 22 barges down the river when two broke off and crashed into the old Highway 80 bridge.,,N/A,https://www.wlbt.com/2025/05/01/barge-strikes-old-highway-80-bridge-vicksburg-no-injuries-reported/,,
6,Hood River–White Salmon Interstate Bridge,"Oregon, USA","45.718462, -121.494656","The new bridge is designed to be higher and feature wider spaces between its support columns. This eliminates the need for a central lift span present in the current bridge, providing a wider and safer passage for barges navigating the Columbia River underneath. Ahead of the replacement, coating condition assessments and engineering monitoring of the existing structure are planned from July–September 2025.","May 19, 2025",Vessel collision,"High wind gusts reportedly caused barge wires to part, necessitating a maneuver downstream to resecure the tow. ",A Shaver Transportation barge had made contact with the inside face of the northernmost lift span pier of the Hood River-White Salmon Interstate Bridge. the impact caused only superficial surface marring to the bridge pier and no structural damage.,Temporary closure,N/A,https://www.portofhoodriver.com/shaver-barge-incident-at-hood-river-bridge-results-in-minor-pier-damage-no-structural-concerns-identified,,
,Alaska Railroad Bridge over Talkeetna River,"Alaska, USA","62.32761710, -150.119016","Railroad staff had initiated a change order to widen the walkway on May 20, just a day prior to the collision","May 27, 2025",Vehicle collision,,"An ATV trespassed onto railroad bridge and was struck by a passing Alaska Railroad train, no reported damage to bridge structure.",,N/A,https://alaskapublic.org/news/public-safety/2025-05-27/alaska-railroad-train-strikes-atv-on-talkeetna-river-bridge?utm_source=chatgpt.com,,
7,Brooklyn Bridge collision,"New York, USA","40.706001, -73.997002",Immediate reactions prioritized safety and emergency response. Investigations are ongoing but yet to yield recommendations.Preventive steps remain speculative—no concrete improvements have been announced.,"May 17, 2025",Vessel collision,"The ship did not maneuver as planned, and travelled backwards under the nearby Brooklyn Bridge, crashing into the span.","The Mexican Navy ship Cuauhtémoc struck the Brooklyn Bridge while departing New York City. The ship's masts collided with the underside of the bridge, at around the height of her topgallant sails, causing the loss of her topmasts and resulting in two deaths and multiple injuries of people aboard the vessel. The Brooklyn Bridge sustained no major structural damage.",All lanes on both sides were briefly closed and reopened soon after the incdient.,N/A,https://en.wikipedia.org/wiki/Cuauht%C3%A9moc%E2%80%93Brooklyn_Bridge_collision,,
8,I-27 Bridge,Texas - USA,"34.36232, -101.76103",,"May 29, 2025",Vehicle collision,The cause is still being investigated.,"A portion of Interstate 27 near Tulia remains closed after a crane being hauled on a tractor-trailer crashed into an overpass, causing considerable damage Tuesday morning in Swisher County. The arm of a crane being hauled on a tractor-trailer collided with the FM 928 overpass, according to the Texas Department of Public Safety.",The overpass will be closed for the foreseeable future as damage is evaluated and repairs are made.,Not yet disclosed.,"Part of I-27 closed in Texas Panhandle after crane, overpass crash",,
9,Coffeeville River Bridge,"Alabama, USA","31.755291, -88.102027","Ongoing investigations may lead to future safeguards—but as of now, no concrete preventive measures (like structural installations or new regulations) have been publicly announced.","May 29, 2025",Vessel collision,The cause is still being investigated.,A barge broke loose from the others and struck the Coffeeville River Bridge. The extent of the damage to the structure was not clear. ,Drivers were rerouted. The roadway has been reopened after the bridge was inspected and deemed safe.,N/A,https://www.fox10tv.com/2025/05/29/barge-hits-bridge-clarke-county/,,
10,Rumson–Sea Bright Bridge,"New Jersey, USA","40.365982, -73.975807","The old bridge is about to be replaced. The new bridge will have modernized draw controls, improved structural integrity and wider structure and shoulders.","June 13, 2025",Vessel collision,Operator Lost directional control,A 56-foot recreational boat crashed into the Rumson-Sea Bright Bridge.,,N/A,https://maydaydigest.com/2025/06/13/50-foot-pleasure-boat-crashes-into-rumson-sea-bright-bridge-nj/,,
11,FM 1431 bridge,"Texas, USA","30.3929, -98.2545",,"July 5, 2025",Flood,"The FM 1431 bridge over Cow Creek, built in 1960 to connect Lago Vista and Marble Falls, was ripped apart by floodwaters. ",Flash floods severely damaged a bridge at Big Sandy Road and Round Mountain Road — the only way in and out of the neighborhood. Concrete slabs tossed into the creek bed like dominos.,Travis County is working with the state to craft a temporary crossing into the Sandy Creek community,Not yet disclosed.,https://www.kxan.com/news/local/travis-county/travis-county-bridge-damaged-by-floods-closed-community-cut-off/ https://www.kut.org/transportation/2025-07-10/fm-1431-cow-creek-bridge-lago-vista-marble-falls-sandy-creek-ranches-bridge-flooded-floods-july-fourth-fix,,
